titulo_eleitor,candidato_id,eleitor,cidade,data_voto
,79,Marcela Nunes,Sales das Pedras,2026-05-12 18:41:17
552629124424,36,Ana Clara Viana,Viana,2026-05-04 18:41:17
148475270749,55,Natália Melo,Mendes,2026-04-13 18:41:17
904564978774,70,Bianca Pereira,Cunha,2026-04-29 18:41:17
420008376050,37,Lavínia da Conceição,Nunes Grande,2026-04-14 18:41:17
902518190018,55,Sofia Ramos,Cardoso do Galho,2026-05-01 18:41:17
404290516977,60,Daniela Duarte,Gomes,2026-04-24 18:41:17
678555361983,68,Luana Moura,Cardoso,2026-04-25 18:41:17
276180726984,29,Vitor Gabriel Sales,Azevedo,2026-04-16 18:41:17
703535322646,55,João Gabriel Viana,Monteiro,2026-05-06 18:41:17
874844384131,72,Srta. Isis Moreira,Moreira do Amparo,2026-05-09 18:41:17
241565718976,15,Thales Ferreira,Farias da Praia,2026-04-18 18:41:17
350898680435,45,Natália Ferreira,Nascimento do Campo,2026-04-20 18:41:17
870991315763,72,Kevin Freitas   ,Silveira,2026-04-25 18:41:17
730459184426,36,Emanuel Lima,Lima,2026-04-16 18:41:17
776136226610,43,Rebeca Duarte   ,Caldeira de Melo,2026-04-26 18:41:17
295218797285,14,Diogo Silva,Azevedo,2026-05-08 18:41:17
691054955083,65,srta. letícia rocha,Souza da Serra,2026-04-16 18:41:17
,58,Luiz Otávio Viana,da Rocha Grande,2026-05-06 18:41:17
,49,Sra. Carolina Campos,Gonçalves da Prata,2026-05-13 18:41:17
678528723781,26,Luiz Felipe Fogaça,Caldeira,2026-04-20 18:41:17
761595510455,32,Dra. Maria da Cunha,da Luz,2026-04-25 18:41:17
730737096220,41,Nathan Oliveira,Sales,2026-04-22 18:41:17
663159569207,-1,Ian Peixoto,Peixoto do Oeste,2026-04-24 18:41:17
527257586700,72,bernardo jesus,Campos,2026-05-09 18:41:17
272807299149,2,Isis Nunes,Cavalcanti Alegre,2026-05-08 18:41:17
189770843860,17,Luiza Barros,Azevedo da Mata,2026-05-01 18:41:17
583434607391,35,Natália da Cruz,Silveira,2026-04-13 18:41:17
412178461080,45,Levi das Neves,Porto,0000-00-00
,13,Sr. Arthur Duarte,Gonçalves das Pedras,2026-05-12 18:41:17
418557281480,44,Levi das Neves,Peixoto,2026-04-19 18:41:17
416268034277,66,Natália Martins,Ferreira do Norte,2026-05-07 18:41:17
573873373041,10,Nathan Ramos,Moreira,2026-04-26 18:41:17
896013450271,19,Sra. Maria Alice Costa,Farias Verde,2026-05-04 18:41:17
174185408959,30,Gabrielly Lima,Pinto,2026-04-16 18:41:17
565666788431,-1,Isabel Nogueira,Vieira,2026-04-30 18:41:17
687220469906,13,Ana Júlia da Paz,Cardoso,2026-04-22 18:41:17
400902977408,78,João Guilherme Peixoto,Barros de Silva,2026-04-18 18:41:17
202732313520,68,Lara Pinto,Pereira de Viana,2026-04-24 18:41:17
553756446456,69,Nina Mendes,Pereira de Minas,2026-04-28 18:41:17
102419962985,56,Maria Luiza Lima   ,da Paz das Flores,2026-05-03 18:41:17
730759689008,28,Ana Costela,Monteiro da Serra,2026-04-30 18:41:17
963346363707,69,João Cardoso,Campos de Pires,2026-05-03 18:41:17
845144786697,52,Maria Vitória Freitas,Viana,0000-00-00
178112113536,25,Pedro Moraes,Carvalho,2026-05-12 18:41:17
854920315508,48,Otávio Novaes,Farias,2026-04-24 18:41:17
744579070501,53,Carolina Cardoso,das Neves,2026-04-20 18:41:17
854572037209,68,Kamilly Carvalho,da Luz,2026-05-04 18:41:17
937808103396,10,Olivia Fernandes,Ramos de Ferreira,2026-05-02 18:41:17
993506552216,17,Ana Beatriz Barbosa,Novaes,2026-05-07 18:41:17
754835487158,57,Gustavo da Rosa   ,da Cunha,2026-04-16 18:41:17
706750833338,14,Sr. Pedro Ramos,da Mota da Praia,2026-05-05 18:41:17
,10,Maria Sophia Pires,Porto do Norte,2026-05-11 18:41:17
298890840079,15,thales barros,Araújo da Serra,2026-04-17 18:41:17
,36,Dr. Thomas Viana,Cunha,2026-04-23 18:41:17
246395562987,73,Rafael Freitas,da Rosa da Serra,2026-04-14 18:41:17
747530436274,36,dr. luiz fernando melo,Lopes,2026-04-18 18:41:17
539540339850,51,Cecília da Mata,Lima,2026-05-08 18:41:17
743420379160,2,Luiz Otávio Azevedo,Barros das Flores,2026-04-14 18:41:17
142150564842,55,Emilly Viana,Pereira Alegre,2026-04-13 18:41:17
553369732191,57,Sr. Murilo Teixeira,Porto Paulista,2026-04-23 18:41:17
483457935810,47,Maria Alice Novaes,Oliveira,2026-04-27 18:41:17
